"measurementID","eventID","measurementType","measurementValue","measurementUnit","measurementMethod","measurementRemarks"
"PM4-T1_1_m8","PM4-T1","Manganese (CHEBI:18291) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","0.746986729","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM4-T1_1_m9","PM4-T1","Sulfur (CHEBI:26833) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","73.3724833","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM4-T1_1_m10","PM4-T1","Silicon (CHEBI:27573) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","6.40603397","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM4-T1_1_m11","PM4-T1","Zinc (CHEBI:27363) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","0.740680844","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
"PM4-T1_1_m12","PM4-T1","Percentage (SIO:001413) of nitrogen (CHEBI:25555) in plant tissue (NCIT:C18945)","2.816245496","percent (UO:0000187)",NA,NA
"PM4-T1_1_m13","PM4-T1","Percentage (SIO:001413) of carbon (CHEBI:27594) in plant tissue (NCIT:C18945)","44.72889519","percent (UO:0000187)",NA,NA
"PM4-T1_1_m14","PM4-T1","Percentage (SIO:001413) of phosphorus (CHEBI:28659) in plant tissue (NCIT:C18945)","0.19953323","percent (UO:0000187)",NA,NA
"PM4-T1_1_m15","PM4-T1","Nitrogen (CHEBI:25555) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","2010.168092","micromole/gram (SNOMED:258816005) dry weight","elemental CNS analyzer",NA
"PM4-T1_1_m16","PM4-T1","Carbon (CHEBI:27594) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","37243.04345","micromole/gram (SNOMED:258816005) dry weight","elemental CNS analyzer",NA
"PM4-T1_1_m17","PM4-T1","Phosphorus (CHEBI:28659) concentration (NCIT:C41185) of plant tissue (NCIT:C18945)","64.42790752","micromole/gram (SNOMED:258816005) dry weight","inductively coupled plasma-atomic emission spectrometry (MMO:0000231)",NA
